Corre;Año; Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de Cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (Peso de cada cabeza);Carne y Hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio;;;
67;2023;1;1;8;5;1;1;20;13,200;132;6.60;66;6;72;16;10;7;1;;;
68;2023;1;1;8;5;1;2;30;16,935;169;5.65;83;8;91;22;12;8;1;;;
69;2023;1;1;8;5;1;5;4;2,334;23;5.84;12;1;13;3;2;1;0;;;
70;2023;1;1;8;5;2;1;70;11,550;116;1.65;67;31;98;9;0;3;5;;;
71;2023;1;1;8;5;2;2;60;9,900;99;1.65;57;27;84;8;0;3;4;;;
72;2023;1;1;8;6;1;1;14;9,240;92;6.60;46;4;50;12;7;5;1;;;
73;2023;1;1;8;6;1;2;12;6,774;68;5.65;33;3;36;9;5;3;0;;;
74;2023;1;1;8;6;1;3;17;11,858;119;6.98;58;5;63;15;9;6;1;;;
75;2023;1;1;8;6;1;4;9;2,781;28;3.09;15;2;16;3;2;1;0;;;
76;2023;1;1;8;6;1;5;7;4,085;41;5.84;20;2;22;6;3;2;0;;;
77;2023;1;1;8;6;1;7;7;1,995;20;2.85;10;1;11;2;1;1;0;;;
78;2023;1;1;8;6;2;1;20;3,300;33;1.65;19;9;28;3;0;1;1;;;
79;2023;1;1;8;6;2;2;17;2,805;28;1.65;16;8;24;2;0;1;1;;;
80;2023;1;1;8;6;3;1;15;713;7;0.48;4;0;5;1;1;0;0;;;
81;2023;1;1;8;6;3;2;9;428;4;0.48;3;0;3;1;1;0;0;;;
82;2023;1;1;8;7;1;1;4;2,640;26;6.60;13;1;14;3;2;1;0;;;
83;2023;1;1;8;7;1;3;4;2,790;28;6.98;14;1;15;4;2;1;0;;;
84;2023;1;1;8;7;2;1;2;330;3;1.65;2;1;3;0;0;0;0;;;
85;2023;1;1;8;7;2;2;2;330;3;1.65;2;1;3;0;0;0;0;;;
86;2023;1;1;8;7;3;1;1;48;0;0.48;0;0;0;0;0;0;0;;;
87;2023;1;1;8;7;3;2;2;95;1;0.48;1;0;1;0;0;0;0;;;
88;2023;1;1;8;7;4;1;1;48;0;0.48;0;0;0;0;0;0;0;;;
89;2023;1;1;9;1;1;1;61;45,750;458;7.50;228;20;249;57;36;23;5;;;
90;2023;1;1;9;1;1;2;169;118,300;1,183;7.00;581;53;634;153;84;59;6;;;
91;2023;1;1;9;1;2;1;668;200,400;2,004;3.00;1,163;537;1,700;158;0;56;90;;;
92;2023;1;1;9;1;2;2;455;136,500;1,365;3.00;792;366;1,158;108;0;38;61;;;
93;2023;1;1;9;4;1;1;48;36,000;360;7.50;180;16;196;45;29;18;4;;;
94;2023;1;1;9;5;1;1;5;3,300;33;6.60;16;1;18;4;3;2;0;;;
95;2023;1;1;9;7;1;1;60;45,000;450;7.50;225;20;245;56;36;22;5;;;
96;2023;1;1;9;7;1;5;59;38,350;384;6.50;191;17;208;54;30;19;4;;;
97;2023;1;1;9;9;1;1;324;243,000;2,430;7.50;1,212;108;1,321;303;193;121;24;;;
98;2023;1;1;9;9;1;2;462;323,400;3,234;7.00;1,588;146;1,734;419;230;162;16;;;
99;2023;1;1;9;9;1;5;139;90,350;904;6.50;451;40;491;126;72;45;9;;;
100;2023;1;1;9;9;2;1;264;79,200;792;3.00;460;212;672;62;0;22;36;;;
101;2023;1;1;9;9;2;2;396;118,800;1,188;3.00;689;318;1,008;94;0;33;53;;;
102;2023;1;1;9;9;3;1;3;180;2;0.60;1;0;1;0;0;0;0;;;
103;2023;1;1;9;9;3;2;2;120;1;0.60;1;0;1;0;0;0;0;;;
104;2023;1;1;9;12;1;1;41;30,750;308;7.50;153;14;167;38;24;15;3;;;
105;2023;1;1;9;17;2;1;15;4,500;45;3.00;26;12;38;4;0;1;2;;;
106;2023;1;1;9;17;2;2;7;2,100;21;3.00;12;6;18;2;0;1;1;;;
107;2023;1;1;9;20;1;1;300;225,000;2,250;7.50;1,123;100;1,223;281;179;112;23;;;
108;2023;1;1;9;20;1;2;160;112,000;1,120;7.00;550;51;600;145;80;56;6;;;
109;2023;1;1;9;20;1;5;119;77,350;774;6.50;386;34;420;108;61;39;8;;;
110;2023;1;1;9;20;2;1;334;100,200;1,002;3.00;582;268;850;79;0;28;45;;;
111;2023;1;1;9;20;2;2;320;96,000;960;3.00;557;257;814;76;0;27;43;;;
