Número de correlativo;Año;Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (peso de cada cabeza);Carne y hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio
1;2022;1;1;1;106;1;1;339;398664;3,987;11.76;1,989;178;2,167;497;316;199;40
2;2022;1;1;1;106;1;2;3786;3180240;31,802;8.40;15,615;1,436;17,051;4,122;2,266;1,590;159
3;2022;1;2;1;106;1;1;262;308112;3,081;11.76;1,537;137;1,675;384;245;154;31
4;2022;1;2;1;106;1;2;3327;2794680;27,947;8.40;13,722;1,262;14,984;3,622;1,991;1,397;140
5;2022;1;3;1;106;1;1;211;248136;2,481;11.76;1,238;111;1,349;309;197;124;25
6;2022;1;3;1;106;1;2;3591;3016440;30,164;8.40;14,810;1,362;16,173;3,909;2,149;1,508;151
7;2022;1;4;1;102;2;8;796;213450;2,135;2.68;1,239;572;1,810;168;0;60;96
8;2022;1;4;1;102;2;9;799;167013;1,670;2.09;969;447;1,417;132;0;47;75
9;2022;1;4;1;106;1;1;124;145824;1,458;11.76;728;65;793;182;116;73;15
10;2022;1;4;1;106;1;2;3290;2763600;27,636;8.40;13,569;1,248;14,817;3,582;1,969;1,382;138
11;2022;1;5;1;102;2;8;942;204671;2,047;2.17;1,188;548;1,736;161;0;57;92
12;2022;1;5;1;102;2;9;1014;225801;2,258;2.23;1,310;605;1,915;178;0;63;102
13;2022;1;5;1;106;1;1;270;317520;3,175;11.76;1,584;142;1,726;396;252;159;32
14;2022;1;5;1;106;1;2;3486;2928240;29,282;8.40;14,377;1,322;15,700;3,795;2,086;1,464;146
15;2022;1;6;1;102;2;8;1031;215987;2,160;2.09;1,254;578;1,832;170;0;60;97
16;2022;1;6;1;102;2;9;993;211117;2,111;2.13;1,225;565;1,791;166;0;59;95
17;2022;1;6;1;106;1;1;253;297528;2,975;11.76;1,485;133;1,617;371;236;149;30
18;2022;1;6;1;106;1;2;3327;2794680;27,947;8.40;13,722;1,262;14,984;3,622;1,991;1,397;140
19;2022;1;7;1;102;2;8;1067;224117;2,241;2.10;1,301;600;1,901;177;0;63;101
20;2022;1;7;1;102;2;9;1083;229581;2,296;2.12;1,332;615;1,947;181;0;64;103
21;2022;1;1;2;202;1;5;3;2870;29;9.57;14;1;16;4;2;1;0
22;2022;1;5;10;1014;2;8;400;102400;1,024;2.56;594;274;869;81;0;29;46
23;2022;1;5;10;1014;2;9;115;29440;294;2.56;171;79;250;23;0;8;13
24;2022;1;4;2;202;1;5;3;2900;29;9.67;14;1;16;4;2;1;0
25;2022;1;5;10;1015;1;1;4;2640;26;6.60;13;1;14;3;2;1;0
26;2022;1;2;11;1108;1;1;5;3292;33;6.58;16;1;18;4;3;2;0
27;2022;1;1;4;401;1;1;69;45540;455;6.60;227;20;248;57;36;23;5
28;2022;1;1;4;401;1;2;63;32067;321;5.09;157;14;172;42;23;16;2
29;2022;1;1;4;401;1;5;86;44032;440;5.12;220;20;239;62;35;22;4
30;2022;1;1;4;403;1;1;26;15600;156;6.00;78;7;85;19;12;8;2
31;2022;1;1;4;403;1;2;23;9200;92;4.00;45;4;49;12;7;5;0
32;2022;1;1;4;403;1;5;77;38500;385;5.00;192;17;209;54;31;19;4
33;2022;1;1;4;403;1;6;35;10500;105;3.00;52;5;57;15;8;5;1
34;2022;1;1;4;406;1;1;56;36960;370;6.60;184;16;201;46;29;18;4
35;2022;1;1;4;406;1;2;41;16400;164;4.00;81;7;88;21;12;8;1
36;2022;1;1;4;406;1;3;33;22935;229;6.95;113;10;123;29;17;11;2
37;2022;1;1;4;406;1;5;18;9000;90;5.00;45;4;49;13;7;4;1
38;2022;1;1;4;406;1;6;11;4125;41;3.75;21;2;22;6;3;2;0
39;2022;1;1;4;407;1;5;28;12600;126;4.50;63;6;68;18;10;6;1
40;2022;1;1;4;412;1;1;21;13860;139;6.60;69;6;75;17;11;7;1
41;2022;1;1;4;412;1;2;4;2000;20;5.00;10;1;11;3;1;1;0
42;2022;1;1;4;412;1;5;57;28500;285;5.00;142;13;155;40;23;14;3
43;2022;1;2;11;1108;1;2;7;5439;54;7.77;27;2;29;7;4;3;0
44;2022;1;1;4;412;2;8;11;1375;14;1.25;8;4;12;1;0;0;1
45;2022;1;1;4;412;2;9;10;950;10;0.95;6;3;8;1;0;0;0
46;2022;1;2;4;401;1;1;68;44880;449;6.60;224;20;244;56;36;22;4
47;2022;1;2;4;401;1;2;67;34170;342;5.10;168;15;183;44;24;17;2
48;2022;1;2;4;401;1;5;106;54696;547;5.16;273;24;297;77;43;27;5
49;2022;1;2;4;403;1;1;23;13800;138;6.00;69;6;75;17;11;7;1
50;2022;1;2;4;403;1;2;27;10800;108;4.00;53;5;58;14;8;5;1
51;2022;1;2;4;403;1;5;64;32000;320;5.00;160;14;174;45;25;16;3
52;2022;1;2;4;403;1;6;21;6300;63;3.00;31;3;34;9;5;3;1
53;2022;1;2;4;406;1;1;49;32340;323;6.60;161;14;176;40;26;16;3
54;2022;1;2;4;406;1;2;44;17600;176;4.00;86;8;94;23;13;9;1
55;2022;1;2;4;406;1;3;39;27105;271;6.95;134;11;145;35;20;14;3
56;2022;1;2;4;406;1;5;12;6000;60;5.00;30;3;33;8;5;3;1
57;2022;1;2;4;406;1;6;18;11250;113;6.25;56;5;61;16;9;6;1
58;2022;1;2;4;407;1;5;35;15750;158;4.50;79;7;86;22;12;8;2
59;2022;1;2;4;412;1;1;18;11880;119;6.60;59;5;65;15;9;6;1
60;2022;1;2;11;1108;1;5;4;3152;32;7.88;16;1;17;4;3;2;0
61;2022;1;2;4;412;1;4;7;2450;25;3.50;13;2;14;3;2;1;0
62;2022;1;2;4;412;1;5;35;17500;175;5.00;87;8;95;25;14;9;2
63;2022;1;2;4;412;2;8;11;1375;14;1.25;8;4;12;1;0;0;1
64;2022;1;2;4;412;2;9;10;950;10;0.95;6;3;8;1;0;0;0
65;2022;1;3;4;401;1;1;75;49500;495;6.60;247;22;269;62;39;25;5
66;2022;1;3;4;401;1;2;95;48545;485;5.11;238;22;260;63;35;24;2
67;2022;1;3;4;401;1;5;97;49761;498;5.13;248;22;270;70;39;25;5
68;2022;1;3;4;403;1;1;19;11400;114;6.00;57;5;62;14;9;6;1
69;2022;1;3;4;403;1;2;34;13600;136;4.00;67;6;73;18;10;7;1
70;2022;1;3;4;403;1;5;69;34500;345;5.00;172;15;188;48;27;17;3
71;2022;1;3;4;403;1;6;32;9600;96;3.00;48;4;52;13;8;5;1
72;2022;1;3;4;406;1;1;70;46200;462;6.60;231;21;251;58;37;23;5
73;2022;1;3;4;406;1;2;56;22400;224;4.00;110;10;120;29;16;11;1
74;2022;1;3;4;406;1;3;49;34055;341;6.95;168;14;182;44;25;17;3
75;2022;1;3;4;406;1;5;15;7500;75;5.00;37;3;41;11;6;4;1
76;2022;1;3;4;406;1;6;16;6000;60;3.75;30;3;33;8;5;3;1
77;2022;1;3;7;704;1;5;30;13500;135;4.50;67;6;73;19;11;7;1
78;2022;1;3;4;412;1;1;9;5940;59;6.60;30;3;32;7;5;3;1
79;2022;1;3;4;412;1;2;4;2000;20;5.00;10;1;11;3;1;1;0
80;2022;1;3;4;412;1;5;61;30000;300;4.92;150;13;163;42;24;15;3
81;2022;1;3;4;412;2;8;32;4000;40;1.25;23;11;34;3;0;1;2
82;2022;1;3;4;412;2;9;30;2800;28;0.93;16;7;24;2;0;1;1
83;2022;1;4;4;401;1;1;75;49500;495;6.60;247;22;269;62;39;25;5
84;2022;1;4;4;401;1;2;80;40720;407;5.09;200;18;218;53;29;20;2
85;2022;1;4;4;401;1;5;100;51100;511;5.11;255;23;278;72;41;26;5
86;2022;1;4;4;403;1;1;32;19200;192;6.00;96;9;104;24;15;10;2
87;2022;1;4;4;403;1;2;27;10800;108;4.00;53;5;58;14;8;5;1
88;2022;1;4;4;403;1;5;50;25000;250;5.00;125;11;136;35;20;12;3
89;2022;1;4;4;403;1;6;38;11400;114;3.00;57;5;62;16;9;6;1
90;2022;1;4;4;406;1;1;53;34980;350;6.60;175;16;190;44;28;17;3
91;2022;1;4;4;406;1;2;46;18400;184;4.00;90;8;99;24;13;9;1
92;2022;1;4;4;406;1;3;33;19800;198;6.00;98;8;106;25;15;10;2
93;2022;1;4;4;406;1;5;12;6000;60;5.00;30;3;33;8;5;3;1
94;2022;1;4;4;406;1;6;21;7875;79;3.75;39;4;43;11;6;4;1
95;2022;1;4;4;407;1;5;33;14850;149;4.50;74;7;81;21;12;7;1
96;2022;1;4;4;412;1;1;9;5940;59;6.60;30;3;32;7;5;3;1
97;2022;1;4;4;412;1;2;4;2000;20;5.00;10;1;11;3;1;1;0
98;2022;1;4;4;412;1;5;61;30000;300;4.92;150;13;163;42;24;15;3
99;2022;1;4;4;412;2;8;32;4000;40;1.25;23;11;34;3;0;1;2
100;2022;1;4;4;412;2;9;30;2800;28;0.93;16;7;24;2;0;1;1
101;2022;1;5;4;401;1;1;82;54120;541;6.60;270;24;294;67;43;27;5
102;2022;1;5;4;401;1;2;82;42148;421;5.14;207;19;226;55;30;21;2
103;2022;1;5;4;401;1;5;97;49373;494;5.09;246;22;268;69;39;25;5
104;2022;1;5;4;403;1;1;28;16800;168;6.00;84;7;91;21;13;8;2
105;2022;1;5;4;403;1;2;31;12400;124;4.00;61;6;66;16;9;6;1
106;2022;1;5;4;403;1;5;69;34500;345;5.00;172;15;188;48;27;17;3
107;2022;1;5;4;403;1;6;21;6300;63;3.00;31;3;34;9;5;3;1
108;2022;1;5;4;406;1;1;46;30360;304;6.60;151;14;165;38;24;15;3
109;2022;1;5;4;406;1;2;44;22000;220;5.00;108;10;118;29;16;11;1
110;2022;1;5;4;406;1;3;29;20155;202;6.95;99;8;108;26;15;10;2
111;2022;1;5;4;406;1;5;24;12000;120;5.00;60;5;65;17;10;6;1
112;2022;1;5;4;406;1;6;16;6000;60;3.75;30;3;33;8;5;3;1
113;2022;1;5;4;407;1;5;30;13500;135;4.50;67;6;73;19;11;7;1
114;2022;1;5;4;412;1;1;5;4450;45;8.90;22;2;24;6;4;2;0
115;2022;1;5;4;412;1;2;3;2200;22;7.33;11;1;12;3;2;1;0
116;2022;1;5;4;412;1;5;8;5744;57;7.18;29;3;31;8;5;3;1
117;2022;1;6;4;401;1;1;70;46200;462;6.60;231;21;251;58;37;23;5
118;2022;1;6;4;401;1;2;75;38250;383;5.10;188;17;205;50;27;19;2
119;2022;1;6;4;401;1;5;95;48355;484;5.09;241;22;263;68;38;24;5
120;2022;1;6;4;403;1;1;37;22200;222;6.00;111;10;121;28;18;11;2
121;2022;1;6;4;403;1;2;24;9600;96;4.00;47;4;51;12;7;5;0
122;2022;1;6;4;403;1;5;61;30500;305;5.00;152;14;166;43;24;15;3
123;2022;1;6;4;403;1;6;19;5700;57;3.00;28;3;31;8;5;3;1
124;2022;1;6;4;406;1;1;65;42900;429;6.60;214;19;233;54;34;21;4
125;2022;1;6;4;406;1;2;49;24500;245;5.00;120;11;131;32;17;12;1
126;2022;1;6;4;406;1;3;44;30580;306;6.95;151;13;163;39;23;15;3
127;2022;1;6;4;406;1;5;25;12500;125;5.00;62;6;68;18;10;6;1
128;2022;1;6;4;406;1;6;21;7875;79;3.75;39;4;43;11;6;4;1
129;2022;1;6;4;407;1;5;35;15750;158;4.50;79;7;86;22;12;8;2
130;2022;1;6;4;412;1;1;17;11220;112;6.60;56;5;61;14;9;6;1
131;2022;1;6;4;412;1;5;81;40500;405;5.00;202;18;220;57;32;20;4
132;2022;1;2;11;1109;1;1;4;3292;33;8.23;16;1;18;4;3;2;0
133;2022;1;6;4;412;2;8;22;2750;28;1.25;16;7;23;2;0;1;1
134;2022;1;6;4;412;2;9;22;2090;21;0.95;12;6;18;2;0;1;1
135;2022;1;1;5;502;1;1;75;70200;702;9.36;350;31;382;88;56;35;7
136;2022;1;1;5;502;1;2;85;64685;647;7.61;318;29;347;84;46;32;3
137;2022;1;1;5;502;1;3;70;73500;735;10.50;362;31;393;94;55;37;7
138;2022;1;1;5;502;1;5;79;61936;619;7.84;309;28;337;87;49;31;6
139;2022;1;1;5;502;1;6;80;50720;507;6.34;253;23;276;71;40;25;5
140;2022;1;2;11;1109;1;2;4;3108;31;7.77;15;1;17;4;2;2;0
141;2022;1;2;11;1109;1;5;4;3152;32;7.88;16;1;17;4;3;2;0
142;2022;1;3;11;1102;1;1;10;6460;65;6.46;32;3;35;8;5;3;1
143;2022;1;3;10;1005;1;6;6;4100;41;6.83;20;2;22;6;3;2;0
144;2022;1;3;10;1005;2;8;20;2475;25;1.24;14;7;21;2;0;1;1
145;2022;1;3;10;1005;2;9;14;2425;24;1.73;14;6;21;2;0;1;1
146;2022;1;3;10;1007;1;1;8;7200;72;9.00;36;3;39;9;6;4;1
147;2022;1;3;10;1007;1;2;8;6400;64;8.00;31;3;34;8;5;3;0
148;2022;1;3;10;1017;1;1;175;131250;1,313;7.50;655;59;713;164;104;66;13
149;2022;1;5;10;1002;1;1;3;2700;27;9.00;13;1;15;3;2;1;0
150;2022;1;5;10;1002;1;5;17;13600;136;8.00;68;6;74;19;11;7;1
151;2022;1;5;10;1002;1;6;26;18200;182;7.00;91;8;99;25;14;9;2
152;2022;1;5;10;1002;2;8;40;3200;32;0.80;19;9;27;3;0;1;1
153;2022;1;5;10;1002;2;9;29;2030;20;0.70;12;5;17;2;0;1;1
154;2022;1;5;10;1003;1;1;20;16000;160;8.00;80;7;87;20;13;8;2
155;2022;1;5;10;1003;1;5;109;76300;763;7.00;381;34;415;107;61;38;8
156;2022;1;5;10;1003;1;6;8;4984;50;6.23;25;2;27;7;4;2;0
157;2022;1;5;10;1004;1;1;22;17600;176;8.00;88;8;96;22;14;9;2
158;2022;1;3;11;1102;1;2;9;5980;60;6.64;29;3;32;8;4;3;0
159;2022;1;5;10;1005;1;2;6;4638;46;7.73;23;2;25;6;3;2;0
160;2022;1;6;10;1002;1;1;6;5400;54;9.00;27;2;29;7;4;3;1
161;2022;1;5;10;1005;1;6;4;2492;25;6.23;12;1;14;3;2;1;0
162;2022;1;5;10;1005;2;8;10;1740;17;1.74;10;5;15;1;0;0;1
163;2022;1;5;10;1005;2;9;17;3545;35;2.09;21;9;30;3;0;1;2
164;2022;1;5;10;1007;1;1;8;7200;72;9.00;36;3;39;9;6;4;1
165;2022;1;5;10;1007;1;2;8;6400;64;8.00;31;3;34;8;5;3;0
166;2022;1;5;10;1007;1;5;4;2800;28;7.00;14;1;15;4;2;1;0
167;2022;1;5;10;1007;1;6;4;2492;25;6.23;12;1;14;3;2;1;0
168;2022;1;5;10;1007;2;8;4;1200;12;3.00;7;3;10;1;0;0;1
169;2022;1;2;11;1107;1;1;17;10200;102;6.00;51;5;55;13;8;5;1
170;2022;1;5;10;1010;1;1;46;36800;368;8.00;184;16;200;46;29;18;4
171;2022;1;5;10;1010;1;2;45;34785;348;7.73;171;16;186;45;25;17;2
172;2022;1;5;10;1010;1;5;32;25600;256;8.00;128;11;139;36;20;13;3
173;2022;1;5;10;1010;1;6;56;34888;349;6.23;174;16;190;49;28;17;3
174;2022;1;5;10;1010;2;8;140;35000;350;2.50;203;94;297;28;0;10;16
175;2022;1;5;10;1010;2;9;104;26000;260;2.50;151;70;221;20;0;7;12
176;2022;1;5;10;1011;1;1;29;26100;261;9.00;130;12;142;33;21;13;3
177;2022;1;5;10;1011;1;6;7;4361;44;6.23;22;2;24;6;3;2;0
178;2022;1;5;10;1012;1;1;4;3200;32;8.00;16;1;17;4;3;2;0
179;2022;1;2;11;1107;1;2;4;2400;24;6.00;12;1;13;3;2;1;0
180;2022;1;3;11;1102;1;5;5;3280;33;6.56;16;1;18;5;3;2;0
181;2022;1;2;12;1209;1;1;30;19800;198;6.60;99;9;108;25;16;10;2
182;2022;1;2;12;1209;1;2;10;4000;40;4.00;20;2;21;5;3;2;0
183;2022;1;2;12;1209;1;5;14;7532;75;5.38;38;3;41;11;6;4;1
184;2022;1;2;12;1209;2;8;22;1760;18;0.80;10;5;15;1;0;0;1
185;2022;1;2;12;1209;2;9;10;700;7;0.70;4;2;6;1;0;0;0
186;2022;1;2;12;1209;3;8;24;1200;12;0.50;7.14;0.84;7.99;1.44;1.50;0.24;0.24
187;2022;1;2;12;1209;3;9;24;1200;12;0.50;7.14;0.84;7.99;1.44;1.50;0.24;0.24
188;2022;1;2;12;1210;1;2;20;10000;100;5.00;49;5;54;13;7;5;1
189;2022;1;2;12;1210;1;3;10;6950;70;6.95;34;3;37;9;5;3;1
190;2022;1;2;12;1210;1;5;12;6456;65;5.38;32;3;35;9;5;3;1
191;2022;1;2;12;1210;1;6;10;3500;35;3.50;17;2;19;5;3;2;0
192;2022;1;2;12;1210;2;8;25;5000;50;2.00;29;13;42;4;0;1;2
193;2022;1;2;12;1210;2;9;15;3000;30;2.00;17;8;25;2;0;1;1
194;2022;1;2;12;1210;3;8;6;360;4;0.60;2.14;0.25;2.40;0.43;0.45;0.07;0.07
195;2022;1;2;12;1210;3;9;4;240;2;0.60;1.43;0.17;1.60;0.29;0.30;0.05;0.05
196;2022;1;2;12;1223;1;1;52;34320;343;6.60;171;15;187;43;27;17;3
197;2022;1;2;12;1211;2;8;8;800;8;1.00;5;2;7;1;0;0;0
198;2022;1;2;12;1211;2;9;4;400;4;1.00;2;1;3;0;0;0;0
199;2022;1;2;12;1212;1;1;13;11050;111;8.50;55;5;60;14;9;6;1
200;2022;1;2;12;1212;1;5;1;600;6;6.00;3;0;3;1;0;0;0
201;2022;1;2;12;1212;1;6;17;11475;115;6.75;57;5;62;16;9;6;1
202;2022;1;2;12;1212;2;8;13;780;8;0.60;5;2;7;1;0;0;0
203;2022;1;2;12;1212;2;9;18;1080;11;0.60;6;3;9;1;0;0;0
204;2022;1;2;12;1213;1;1;7;4500;45;6.43;22;2;24;6;4;2;0
205;2022;1;2;12;1213;1;5;39;23400;234;6.00;117;10;127;33;19;12;2
206;2022;1;2;12;1213;1;6;6;3510;35;5.85;18;2;19;5;3;2;0
207;2022;1;2;12;1215;1;1;119;89250;893;7.50;445;40;485;111;71;45;9
208;2022;1;2;12;1215;1;2;100;70000;700;7.00;344;32;375;91;50;35;4
209;2022;1;2;12;1215;1;5;107;64200;642;6.00;320;29;349;90;51;32;6
210;2022;1;2;12;1215;1;6;88;51480;515;5.85;257;23;280;72;41;26;5
211;2022;1;2;12;1216;1;1;125;93750;938;7.50;468;42;510;117;74;47;9
212;2022;1;2;12;1216;1;6;50;24700;247;4.94;123;11;134;35;20;12;2
213;2022;1;2;12;1216;1;5;15;9000;90;6.00;45;4;49;13;7;4;1
214;2022;1;2;12;1216;1;2;28;18060;181;6.45;89;8;97;23;13;9;1
215;2022;1;2;12;1216;2;8;125;31250;313;2.50;181;84;265;25;0;9;14
216;2022;1;2;12;1216;2;9;20;3200;32;1.60;19;9;27;3;0;1;1
217;2022;1;2;12;1217;1;1;18;13500;135;7.50;67;6;73;17;11;7;1
218;2022;1;2;12;1217;1;2;11;7700;77;7.00;38;3;41;10;5;4;0
219;2022;1;2;12;1217;1;5;110;66000;660;6.00;329;29;359;92;52;33;7
220;2022;1;2;12;1217;2;8;124;24800;248;2.00;144;66;210;20;0;7;11
221;2022;1;2;12;1217;2;9;120;24000;240;2.00;139;64;204;19;0;7;11
222;2022;1;2;12;1219;2;8;2;280;3;1.40;2;1;2;0;0;0;0
223;2022;1;2;12;1221;1;2;40;28000;280;7.00;137;13;150;36;20;14;1
224;2022;1;2;12;1221;2;8;68;14000;140;2.06;81;37;119;11;0;4;6
225;2022;1;2;12;1222;1;5;176;105600;1,056;6.00;527;47;574;148;84;53;11
226;2022;1;2;12;1222;1;2;9;7200;72;8.00;35;3;39;9;5;4;0
227;2022;1;2;12;1222;2;8;33;3300;33;1.00;19;9;28;3;0;1;1
228;2022;1;2;12;1222;2;9;36;3600;36;1.00;21;10;31;3;0;1;2
229;2022;1;2;12;1225;1;1;4;2640;26;6.60;13;1;14;3;2;1;0
230;2022;1;2;12;1226;1;1;19;12540;125;6.60;63;6;68;16;10;6;1
231;2022;1;2;12;1226;1;2;15;7500;75;5.00;37;3;40;10;5;4;0
232;2022;1;2;12;1226;1;3;18;12510;125;6.95;62;5;67;16;9;6;1
233;2022;1;2;12;1202;1;4;10;2500;25;2.50;13;2;15;3;2;1;0
234;2022;1;2;12;1226;1;5;17;8500;85;5.00;42;4;46;12;7;4;1
235;2022;1;2;12;1226;1;6;12;4200;42;3.50;21;2;23;6;3;2;0
236;2022;1;2;12;1226;2;8;41;6150;62;1.50;36;16;52;5;0;2;3
237;2022;1;2;12;1226;2;9;36;5400;54;1.50;31;14;46;4;0;2;2
238;2022;1;2;12;1228;1;1;15;9900;99;6.60;49;4;54;12;8;5;1
239;2022;1;2;12;1228;1;5;9;4842;48;5.38;24;2;26;7;4;2;0
240;2022;1;2;12;1228;2;8;16;960;10;0.60;6;3;8;1;0;0;0
241;2022;1;2;12;1228;3;8;24;840;8;0.35;5.00;0.59;5.59;1.01;1.05;0.17;0.17
242;2022;1;5;12;1222;2;8;30;3000;30;1.00;17;8;25;2;0;1;1
243;2022;1;5;12;1222;2;9;36;3600;36;1.00;21;10;31;3;0;1;2
244;2022;1;5;12;1223;1;1;52;34320;343;6.60;171;15;187;43;27;17;3
245;2022;1;5;12;1225;1;1;4;2640;26;6.60;13;1;14;3;2;1;0
246;2022;1;5;12;1225;2;8;2;180;2;0.90;1;0;2;0;0;0;0
247;2022;1;5;12;1226;1;1;21;13860;139;6.60;69;6;75;17;11;7;1
248;2022;1;5;12;1226;1;2;17;8500;85;5.00;42;4;46;11;6;4;0
249;2022;1;5;12;1226;1;3;18;12510;125;6.95;62;5;67;16;9;6;1
250;2022;1;5;12;1226;1;4;9;2475;25;2.75;13;2;15;3;2;1;0
251;2022;1;5;12;1226;1;5;19;10450;105;5.50;52;5;57;15;8;5;1
252;2022;1;5;12;1229;1;6;10;3500;35;3.50;17;2;19;5;3;2;0
253;2022;1;5;12;1226;2;8;41;6150;62;1.50;36;16;52;5;0;2;3
254;2022;1;5;12;1226;2;9;40;6000;60;1.50;35;16;51;5;0;2;3
255;2022;1;5;12;1228;1;1;10;6600;66;6.60;33;3;36;8;5;3;1
256;2022;1;5;12;1228;1;5;7;3766;38;5.38;19;2;20;5;3;2;0
257;2022;1;5;12;1228;2;8;30;1800;18;0.60;10;5;15;1;0;1;1
258;2022;1;5;12;1228;3;8;12;420;4;0.35;2.50;0.29;2.79;0.50;0.53;0.08;0.08
259;2022;1;5;12;1229;1;1;9;5940;59;6.60;30;3;32;7;5;3;1
260;2022;1;5;12;1229;1;2;6;3000;30;5.00;15;1;16;4;2;2;0
261;2022;1;5;12;1229;1;4;4;1200;12;3.00;6;1;7;1;1;0;0
262;2022;1;5;12;1229;1;5;5;2690;27;5.38;13;1;15;4;2;1;0
263;2022;1;5;12;1229;2;8;7;490;5;0.70;3;1;4;0;0;0;0
264;2022;1;5;12;1229;2;9;4;280;3;0.70;2;1;2;0;0;0;0
265;2022;1;5;12;1229;3;8;6;240;2;0.40;1.43;0.17;1.60;0.29;0.30;0.05;0.05
266;2022;1;5;12;1229;3;9;4;160;2;0.40;0.95;0.11;1.06;0.19;0.20;0.03;0.03
267;2022;1;6;12;1203;1;1;3;1980;20;6.60;10;1;11;2;2;1;0
268;2022;1;6;12;1203;1;3;2;1390;14;6.95;7;1;7;2;1;1;0
269;2022;1;6;12;1203;1;5;2;1076;11;5.38;5;0;6;2;1;1;0
270;2022;1;6;12;1203;2;8;2;230;2;1.15;1;1;2;0;0;0;0
271;2022;1;6;12;1203;2;9;3;475;5;1.58;3;1;4;0;0;0;0
272;2022;1;6;12;1203;3;8;2;120;1;0.60;0.71;0.08;0.80;0.14;0.15;0.02;0.02
273;2022;1;6;12;1203;3;9;1;60;1;0.60;0.36;0.04;0.40;0.07;0.08;0.01;0.01
274;2022;1;6;12;1204;1;1;20;13200;132;6.60;66;6;72;16;10;7;1
275;2022;1;6;12;1204;1;5;25;13450;135;5.38;67;6;73;19;11;7;1
276;2022;1;6;12;1204;2;8;21;1260;13;0.60;7;3;11;1;0;0;1
277;2022;1;6;12;1204;3;8;10;650;7;0.65;3.87;0.46;4.33;0.78;0.82;0.13;0.13
278;2022;1;6;12;1204;3;9;25;1500;15;0.60;8.93;1.05;9.98;1.80;1.88;0.30;0.30
279;2022;1;6;12;1204;4;8;20;600;6;0.30;3.57;0.42;3.99;0.79;0.75;0.16;0.16
280;2022;1;6;12;1206;1;1;12;7920;79;6.60;40;4;43;10;6;4;1
281;2022;1;6;12;1206;1;2;14;6300;63;4.50;31;3;34;8;4;3;0
282;2022;1;6;12;1206;1;4;10;3500;35;3.50;18;2;21;4;3;1;0
283;2022;1;6;12;1206;1;5;6;2700;27;4.50;13;1;15;4;2;1;0
284;2022;1;6;12;1206;2;8;10;1500;15;1.50;9;4;13;1;0;0;1
285;2022;1;6;12;1206;2;9;8;1200;12;1.50;7;3;10;1;0;0;1
286;2022;1;6;12;1206;3;8;20;600;6;0.30;3.57;0.42;3.99;0.72;0.75;0.12;0.12
287;2022;1;6;12;1206;3;9;18;1080;11;0.60;6.43;0.76;7.19;1.30;1.35;0.22;0.22
288;2022;1;6;12;1206;4;8;10;350;4;0.35;2.08;0.25;2.33;0.46;0.44;0.09;0.09
289;2022;1;6;12;1206;4;9;12;360;4;0.30;2.14;0.25;2.40;0.47;0.45;0.09;0.09
290;2022;1;6;12;1207;1;1;38;22800;228;6.00;114;10;124;28;18;11;2
291;2022;1;6;12;1207;1;5;19;11400;114;6.00;57;5;62;16;9;6;1
292;2022;1;6;12;1207;2;8;20;3000;30;1.50;17;8;25;2;0;1;1
293;2022;1;6;12;1207;3;8;14;840;8;0.60;5.00;0.59;5.59;1.01;1.05;0.17;0.17
294;2022;1;6;12;1208;1;1;24;15840;158;6.60;79;7;86;20;13;8;2
295;2022;1;6;12;1208;2;8;6;450;5;0.75;3;1;4;0;0;0;0
296;2022;1;6;12;1209;1;2;8;4000;40;5.00;20;2;21;5;3;2;0
297;2022;1;6;12;1209;1;4;8;2280;23;2.85;12;1;13;3;2;1;0
298;2022;1;6;12;1209;1;5;6;3000;30;5.00;15;1;16;4;2;1;0
299;2022;1;6;12;1209;1;7;6;1800;18;3.00;9;1;10;2;1;1;0
300;2022;1;6;12;1209;2;8;12;840;8;0.70;5;2;7;1;0;0;0
301;2022;1;6;12;1209;2;9;14;980;10;0.70;6;3;8;1;0;0;0
302;2022;1;6;12;1209;3;8;8;280;3;0.35;1.67;0.20;1.86;0.34;0.35;0.06;0.06
303;2022;1;3;12;1210;3;8;4;240;2;0.60;1.43;0.17;1.60;0.29;0.30;0.05;0.05
304;2022;1;3;12;1210;3;9;2;120;1;0.60;0.71;0.08;0.80;0.14;0.15;0.02;0.02
305;2022;1;3;12;1211;1;5;5;3500;35;7.00;17;2;19;5;3;2;0
306;2022;1;3;12;1211;2;8;6;600;6;1.00;3;2;5;0;0;0;0
307;2022;1;3;12;1211;2;9;6;600;6;1.00;3;2;5;0;0;0;0
308;2022;1;3;12;1212;1;1;15;11250;113;7.50;56;5;61;14;9;6;1
309;2022;1;3;12;1212;1;5;8;4800;48;6.00;24;2;26;7;4;2;0
310;2022;1;3;12;1212;1;6;4;2340;23;5.85;12;1;13;3;2;1;0
311;2022;1;3;12;1212;2;8;15;900;9;0.60;5;2;8;1;0;0;0
312;2022;1;3;12;1212;2;9;12;720;7;0.60;4;2;6;1;0;0;0
313;2022;1;3;12;1213;1;1;6;3680;37;6.13;18;2;20;5;3;2;0
314;2022;1;3;12;1213;1;5;40;24000;240;6.00;120;11;130;34;19;12;2
315;2022;1;3;12;1213;1;6;9;5265;53;5.85;26;2;29;7;4;3;1
