Número de correlativo;Año;Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (peso de cada cabeza);Carne y hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio
6953;2022;1;8;16;1612;1;1;6;3960;40;6.60;20;2;22;5;3;2;0
6954;2022;1;8;16;1612;1;5;25;12500;125;5.00;62;6;68;18;10;6;1
6955;2022;1;8;16;1612;2;8;36;10800;108;3.00;63;29;92;9;0;3;5
6956;2022;1;8;16;1612;2;9;18;5400;54;3.00;31;14;46;4;0;2;2
6957;2022;1;8;16;1613;1;1;104;71240;712;6.85;355;32;387;89;57;36;7
6958;2022;1;8;16;1613;1;5;52;27976;280;5.38;140;12;152;39;22;14;3
6959;2022;1;8;16;1613;2;8;16;3200;32;2.00;19;9;27;3;0;1;1
6960;2022;1;8;16;1613;2;9;9;1575;16;1.75;9;4;13;1;0;0;1
6961;2022;1;8;16;1614;1;1;3;2055;21;6.85;10;1;11;3;2;1;0
6962;2022;1;8;16;1614;1;2;6;3000;30;5.00;15;1;16;4;2;2;0
6963;2022;1;8;16;1614;1;5;40;21520;215;5.38;107;10;117;30;17;11;2
6964;2022;1;8;16;1614;2;8;43;4730;47;1.10;27;13;40;4;0;1;2
6965;2022;1;8;16;1614;2;9;9;990;10;1.10;6;3;8;1;0;0;0
6966;2022;1;8;16;1615;1;1;63;43155;432;6.85;215;19;235;54;34;22;4
6967;2022;1;8;16;1615;1;2;31;15500;155;5.00;76;7;83;20;11;8;1
6968;2022;1;8;16;1615;1;5;35;18830;188;5.38;94;8;102;26;15;9;2
6969;2022;1;8;16;1615;1;6;32;12800;128;4.00;64;6;70;18;10;6;1
6970;2022;1;8;16;1615;2;8;65;19500;195;3.00;113;52;165;15;0;5;9
6971;2022;1;8;16;1615;2;9;54;18900;189;3.50;110;51;160;15;0;5;9
6972;2022;1;8;16;1616;1;1;57;39045;390;6.85;195;17;212;49;31;20;4
6973;2022;1;8;16;1616;1;2;2;1000;10;5.00;5;0;5;1;1;1;0
6974;2022;1;8;16;1616;1;5;29;15602;156;5.38;78;7;85;22;12;8;2
6975;2022;1;8;16;1616;2;8;19;2760;28;1.45;16;7;23;2;0;1;1
6976;2022;1;8;16;1616;2;9;14;1800;18;1.29;10;5;15;1;0;1;1
6977;2022;1;8;16;1617;1;1;25;17125;171;6.85;85;8;93;21;14;9;2
6978;2022;1;8;16;1617;1;5;25;13450;135;5.38;67;6;73;19;11;7;1
6979;2022;1;8;16;1617;1;6;21;8400;84;4.00;42;4;46;12;7;4;1
6980;2022;1;8;16;1617;2;8;3;200;2;0.67;1;1;2;0;0;0;0
6981;2022;1;8;16;1617;2;9;2;185;2;0.93;1;0;2;0;0;0;0
6982;2022;1;9;16;1601;1;1;75;51375;514;6.85;256;23;279;64;41;26;5
6983;2022;1;9;16;1601;1;5;14;7532;75;5.38;38;3;41;11;6;4;1
6984;2022;1;9;16;1601;2;8;27;6480;65;2.40;38;17;55;5;0;2;3
6985;2022;1;9;16;1601;2;9;15;2775;28;1.85;16;7;24;2;0;1;1
6986;2022;1;9;16;1602;1;1;2;1320;13;6.60;7;1;7;2;1;1;0
6987;2022;1;9;16;1602;1;5;1;538;5;5.38;3;0;3;1;0;0;0
6988;2022;1;9;16;1602;2;8;6;445;4;0.74;3;1;4;0;0;0;0
6989;2022;1;9;16;1602;2;9;6;395;4;0.66;2;1;3;0;0;0;0
6990;2022;1;9;16;1603;1;1;94;64390;644;6.85;321;29;350;80;51;32;6
6991;2022;1;9;16;1603;1;2;4;2000;20;5.00;10;1;11;3;1;1;0
6992;2022;1;9;16;1603;1;5;15;8070;81;5.38;40;4;44;11;6;4;1
6993;2022;1;9;16;1603;1;6;22;8800;88;4.00;44;4;48;12;7;4;1
6994;2022;1;9;16;1603;2;8;143;42900;429;3.00;249;115;364;34;0;12;19
6995;2022;1;9;16;1603;2;9;42;12600;126;3.00;73;34;107;10;0;4;6
6996;2022;1;9;16;1604;1;1;10;6850;69;6.85;34;3;37;9;5;3;1
6997;2022;1;9;16;1604;1;5;96;51648;516;5.38;258;23;281;72;41;26;5
6998;2022;1;9;16;1604;2;8;42;8400;84;2.00;49;22;71;7;0;2;4
6999;2022;1;9;16;1604;2;9;37;7400;74;2.00;43;20;63;6;0;2;3
7000;2022;1;9;16;1604;1;1;23;15755;158;6.85;79;7;86;20;13;8;2
7001;2022;1;9;16;1605;2;8;13;4550;46;3.50;26;12;39;4;0;1;2
7002;2022;1;9;16;1606;1;1;38;26030;260;6.85;130;12;141;32;21;13;3
7003;2022;1;9;16;1606;1;2;29;14500;145;5.00;71;7;78;19;10;7;1
7004;2022;1;9;16;1606;1;5;22;11836;118;5.38;59;5;64;17;9;6;1
7005;2022;1;9;16;1606;2;8;52;15600;156;3.00;91;42;132;12;0;4;7
7006;2022;1;9;16;1606;2;9;31;9300;93;3.00;54;25;79;7;0;3;4
7007;2022;1;9;16;1607;1;1;18;12330;123;6.85;62;5;67;15;10;6;1
7008;2022;1;9;16;1607;1;5;15;8070;81;5.38;40;4;44;11;6;4;1
7009;2022;1;9;16;1607;2;8;12;2400;24;2.00;14;6;20;2;0;1;1
7010;2022;1;9;16;1607;2;9;10;3000;30;3.00;17;8;25;2;0;1;1
7011;2022;1;9;16;1608;1;1;9;6165;62;6.85;31;3;34;8;5;3;1
7012;2022;1;9;16;1608;1;2;6;3000;30;5.00;15;1;16;4;2;2;0
7013;2022;1;9;16;1608;1;5;23;12374;124;5.38;62;6;67;17;10;6;1
7014;2022;1;9;16;1608;2;9;5;800;8;1.60;5;2;7;1;0;0;0
7015;2022;1;9;16;1609;1;1;68;46580;466;6.85;232;21;253;58;37;23;5
7016;2022;1;9;16;1609;1;5;17;9146;91;5.38;46;4;50;13;7;5;1
7017;2022;1;9;16;1609;2;8;18;4713;47;2.62;27;13;40;4;0;1;2
7018;2022;1;9;16;1609;2;9;68;17806;178;2.62;103;48;151;14;0;5;8
7019;2022;1;9;16;1610;1;1;34;23290;233;6.85;116;10;127;29;18;12;2
7020;2022;1;9;16;1610;1;5;20;10760;108;5.38;54;5;58;15;9;5;1
7021;2022;1;9;16;1610;2;8;8;3200;32;4.00;19;9;27;3;0;1;1
7022;2022;1;9;16;1610;2;9;5;1500;15;3.00;9;4;13;1;0;0;1
7023;2022;1;9;16;1612;1;1;14;9240;92;6.60;46;4;50;12;7;5;1
7024;2022;1;9;16;1612;1;5;19;9500;95;5.00;47;4;52;13;8;5;1
7025;2022;1;9;16;1612;2;8;24;7200;72;3.00;42;19;61;6;0;2;3
7026;2022;1;9;16;1612;2;9;20;6000;60;3.00;35;16;51;5;0;2;3
7027;2022;1;9;16;1613;1;1;94;64390;644;6.85;321;29;350;80;51;32;6
7028;2022;1;9;16;1613;1;5;58;31204;312;5.38;156;14;170;44;25;16;3
7029;2022;1;9;16;1613;2;8;16;4800;48;3.00;28;13;41;4;0;1;2
7030;2022;1;9;16;1613;2;9;8;1800;18;2.25;10;5;15;1;0;1;1
7031;2022;1;9;16;1614;1;1;4;2740;27;6.85;14;1;15;3;2;1;0
7032;2022;1;9;16;1614;1;2;3;1500;15;5.00;7;1;8;2;1;1;0
7033;2022;1;9;16;1614;1;5;50;26900;269;5.38;134;12;146;38;21;13;3
7034;2022;1;9;16;1614;2;8;56;5544;55;0.99;32;15;47;4;0;2;2
7035;2022;1;9;16;1614;2;9;3;297;3;0.99;2;1;3;0;0;0;0
7036;2022;1;9;16;1615;1;1;67;45895;459;6.85;229;20;249;57;36;23;5
7037;2022;1;9;16;1615;1;2;35;17500;175;5.00;86;8;94;23;12;9;1
7038;2022;1;9;16;1615;1;5;38;20444;204;5.38;102;9;111;29;16;10;2
7039;2022;1;9;16;1615;1;6;36;14400;144;4.00;72;6;78;20;11;7;1
7040;2022;1;9;16;1615;2;8;66;19800;198;3.00;115;53;168;16;0;6;9
7041;2022;1;9;16;1615;2;9;57;19950;200;3.50;116;53;169;16;0;6;9
7042;2022;1;9;16;1616;1;1;44;30140;301;6.85;150;13;164;38;24;15;3
7043;2022;1;9;16;1616;1;2;5;2500;25;5.00;12;1;13;3;2;1;0
7044;2022;1;9;16;1616;1;5;22;11836;118;5.38;59;5;64;17;9;6;1
7045;2022;1;9;16;1616;2;8;14;2095;21;1.50;12;6;18;2;0;1;1
7046;2022;1;9;16;1616;2;9;15;1839;18;1.23;11;5;16;1;0;1;1
7047;2022;1;9;16;1617;1;1;21;14385;144;6.85;72;6;78;18;11;7;1
7048;2022;1;9;16;1617;1;5;27;14526;145;5.38;72;6;79;20;12;7;1
7049;2022;1;9;16;1617;1;6;22;8800;88;4.00;44;4;48;12;7;4;1
7050;2022;1;9;16;1617;2;8;2;200;2;1.00;1;1;2;0;0;0;0
7051;2022;1;9;16;1617;2;9;1;100;1;1.00;1;0;1;0;0;0;0
7052;2022;1;10;16;1601;1;1;75;51375;514;6.85;256;23;279;64;41;26;5
7053;2022;1;10;16;1601;1;5;29;15602;156;5.38;78;7;85;22;12;8;2
7054;2022;1;10;16;1601;2;8;41;11280;113;2.75;65;30;96;9;0;3;5
7055;2022;1;10;16;1601;2;9;25;4625;46;1.85;27;12;39;4;0;1;2
7056;2022;1;10;16;1602;1;1;3;1980;20;6.60;10;1;11;2;2;1;0
7057;2022;1;10;16;1602;1;5;1;538;5;5.38;3;0;3;1;0;0;0
7058;2022;1;10;16;1602;2;8;9;705;7;0.78;4;2;6;1;0;0;0
7059;2022;1;10;16;1602;2;9;4;275;3;0.69;2;1;2;0;0;0;0
7060;2022;1;10;16;1603;1;1;102;69870;699;6.85;349;31;380;87;55;35;7
7061;2022;1;10;16;1603;1;5;11;5918;59;5.38;30;3;32;8;5;3;1
7062;2022;1;10;16;1603;1;6;16;6400;64;4.00;32;3;35;9;5;3;1
7063;2022;1;10;16;1603;2;8;167;50100;501;3.00;291;134;425;39;0;14;23
7064;2022;1;10;16;1603;2;9;17;5100;51;3.00;30;14;43;4;0;1;2
7065;2022;1;10;16;1604;1;1;9;6165;62;6.85;31;3;34;8;5;3;1
7066;2022;1;10;16;1604;1;5;107;57566;576;5.38;287;26;313;81;46;29;6
7067;2022;1;10;16;1604;2;8;40;8000;80;2.00;46;21;68;6;0;2;4
7068;2022;1;10;16;1604;2;9;35;7000;70;2.00;41;19;59;6;0;2;3
7069;2022;1;10;16;1605;1;1;17;11645;116;6.85;58;5;63;15;9;6;1
7070;2022;1;10;16;1605;2;8;11;3850;39;3.50;22;10;33;3;0;1;2
7071;2022;1;10;16;1606;1;1;42;28770;288;6.85;144;13;156;36;23;14;3
7072;2022;1;10;16;1606;1;2;27;13500;135;5.00;66;6;72;17;10;7;1
7073;2022;1;10;16;1606;1;5;34;18292;183;5.38;91;8;99;26;15;9;2
7074;2022;1;10;16;1606;2;8;35;10500;105;3.00;61;28;89;8;0;3;5
7075;2022;1;10;16;1606;2;9;38;11400;114;3.00;66;31;97;9;0;3;5
7076;2022;1;10;16;1607;1;1;18;12330;123;6.85;62;5;67;15;10;6;1
7077;2022;1;10;16;1607;1;5;15;8070;81;5.38;40;4;44;11;6;4;1
7078;2022;1;10;16;1607;2;8;12;2400;24;2.00;14;6;20;2;0;1;1
7079;2022;1;10;16;1607;2;9;10;2000;20;2.00;12;5;17;2;0;1;1
7080;2022;1;10;16;1608;1;1;9;6165;62;6.85;31;3;34;8;5;3;1
7081;2022;1;10;16;1608;1;2;1;500;5;5.00;2;0;3;1;0;0;0
7082;2022;1;10;16;1608;1;5;30;16140;161;5.38;81;7;88;23;13;8;2
7083;2022;1;10;16;1608;2;8;2;320;3;1.60;2;1;3;0;0;0;0
7084;2022;1;10;16;1608;2;9;5;1310;13;2.62;8;4;11;1;0;0;1
7085;2022;1;10;16;1609;1;1;81;55485;555;6.85;277;25;302;69;44;28;6
7086;2022;1;10;16;1609;1;5;20;10760;108;5.38;54;5;58;15;9;5;1
7087;2022;1;10;16;1609;2;8;22;5100;51;2.32;30;14;43;4;0;1;2
7088;2022;1;10;16;1609;2;9;70;16227;162;2.32;94;43;138;13;0;5;7
7089;2022;1;10;16;1610;1;1;22;15070;151;6.85;75;7;82;19;12;8;2
7090;2022;1;10;16;1610;1;5;36;19368;194;5.38;97;9;105;27;15;10;2
7091;2022;1;10;16;1610;2;8;15;6000;60;4.00;35;16;51;5;0;2;3
7092;2022;1;10;16;1610;2;9;3;900;9;3.00;5;2;8;1;0;0;0
7093;2022;1;10;16;1612;1;1;15;9900;99;6.60;49;4;54;12;8;5;1
7094;2022;1;10;16;1612;1;5;25;12500;125;5.00;62;6;68;18;10;6;1
7095;2022;1;10;16;1612;2;8;23;6900;69;3.00;40;18;59;5;0;2;3
7096;2022;1;10;16;1612;2;9;38;11400;114;3.00;66;31;97;9;0;3;5
7097;2022;1;10;16;1613;1;1;109;74665;747;6.85;373;33;406;93;59;37;7
7098;2022;1;10;16;1613;1;5;48;25824;258;5.38;129;12;140;36;20;13;3
7099;2022;1;10;16;1613;2;8;15;4500;45;3.00;26;12;38;4;0;1;2
7100;2022;1;10;16;1613;2;9;8;1600;16;2.00;9;4;14;1;0;0;1
7101;2022;1;10;16;1614;1;1;5;3425;34;6.85;17;2;19;4;3;2;0
7102;2022;1;10;16;1614;1;2;3;1500;15;5.00;7;1;8;2;1;1;0
7103;2022;1;10;16;1614;1;5;46;24748;247;5.38;123;11;135;35;20;12;2
7104;2022;1;10;16;1614;2;8;51;5049;50;0.99;29;14;43;4;0;1;2
7105;2022;1;10;16;1614;2;9;3;297;3;0.99;2;1;3;0;0;0;0
7106;2022;1;10;16;1615;1;1;64;43840;438;6.85;219;20;238;55;35;22;4
7107;2022;1;10;16;1615;1;2;33;16500;165;5.00;81;7;88;21;12;8;1
7108;2022;1;10;16;1615;1;5;36;19368;194;5.38;97;9;105;27;15;10;2
7109;2022;1;10;16;1615;1;6;35;14000;140;4.00;70;6;76;20;11;7;1
7110;2022;1;10;16;1615;2;8;62;18600;186;3.00;108;50;158;15;0;5;8
7111;2022;1;10;16;1615;2;9;55;19250;193;3.50;112;52;163;15;0;5;9
7112;2022;1;10;16;1616;1;1;47;32195;322;6.85;161;14;175;40;26;16;3
7113;2022;1;10;16;1616;1;2;4;2000;20;5.00;10;1;11;3;1;1;0
7114;2022;1;10;16;1616;1;5;21;11298;113;5.38;56;5;61;16;9;6;1
7115;2022;1;10;16;1616;2;8;13;1870;19;1.44;11;5;16;1;0;1;1
7116;2022;1;10;16;1616;2;9;10;1500;15;1.50;9;4;13;1;0;0;1
7117;2022;1;10;16;1617;1;1;22;15070;151;6.85;75;7;82;19;12;8;2
7118;2022;1;10;16;1617;1;5;30;16140;161;5.38;81;7;88;23;13;8;2
7119;2022;1;10;16;1617;1;6;19;7600;76;4.00;38;3;41;11;6;4;1
7120;2022;1;10;16;1617;2;8;2;250;3;1.25;1;1;2;0;0;0;0
7121;2022;1;10;16;1617;2;9;2;200;2;1.00;1;1;2;0;0;0;0
7122;2022;1;11;16;1601;1;1;49;33565;336;6.85;167;15;182;42;27;17;3
7123;2022;1;11;16;1601;1;5;59;31742;317;5.38;158;14;173;44;25;16;3
7124;2022;1;11;16;1601;2;8;38;9120;91;2.40;53;24;77;7;0;3;4
7125;2022;1;11;16;1601;2;9;35;6475;65;1.85;38;17;55;5;0;2;3
7126;2022;1;11;16;1602;1;1;2;1320;13;6.60;7;1;7;2;1;1;0
7127;2022;1;11;16;1602;1;5;1;450;5;4.50;2;0;2;1;0;0;0
7128;2022;1;11;16;1602;2;8;8;595;6;0.74;3;2;5;0;0;0;0
7129;2022;1;11;16;1602;2;9;5;340;3;0.68;2;1;3;0;0;0;0
7130;2022;1;11;16;1603;1;1;94;64390;644;6.85;321;29;350;80;51;32;6
7131;2022;1;11;16;1603;1;5;16;8608;86;5.38;43;4;47;12;7;4;1
7132;2022;1;11;16;1603;1;6;11;4400;44;4.00;22;2;24;6;3;2;0
7133;2022;1;11;16;1603;2;8;164;49200;492;3.00;286;132;417;39;0;14;22
7134;2022;1;11;16;1603;2;9;34;10200;102;3.00;59;27;87;8;0;3;5
7135;2022;1;11;16;1604;1;5;88;47344;473;5.38;236;21;257;66;38;24;5
7136;2022;1;11;16;1604;2;8;30;6000;60;2.00;35;16;51;5;0;2;3
7137;2022;1;11;16;1604;2;9;23;4600;46;2.00;27;12;39;4;0;1;2
7138;2022;1;11;16;1605;1;1;18;12330;123;6.85;62;5;67;15;10;6;1
7139;2022;1;11;16;1605;2;8;14;4900;49;3.50;28;13;42;4;0;1;2
7140;2022;1;11;16;1606;1;1;38;26030;260;6.85;130;12;141;32;21;13;3
7141;2022;1;11;16;1606;1;2;24;12000;120;5.00;59;5;64;16;9;6;1
7142;2022;1;11;16;1606;1;5;27;14526;145;5.38;72;6;79;20;12;7;1
7143;2022;1;11;16;1606;2;8;41;12300;123;3.00;71;33;104;10;0;3;6
7144;2022;1;11;16;1606;2;9;30;9000;90;3.00;52;24;76;7;0;3;4
7145;2022;1;11;16;1607;1;1;15;10275;103;6.85;51;5;56;13;8;5;1
7146;2022;1;11;16;1607;1;5;12;6456;65;5.38;32;3;35;9;5;3;1
7147;2022;1;11;16;1607;2;8;12;3600;36;3.00;21;10;31;3;0;1;2
7148;2022;1;11;16;1607;2;9;10;2000;20;2.00;12;5;17;2;0;1;1
7149;2022;1;11;16;1608;1;1;3;2055;21;6.85;10;1;11;3;2;1;0
7150;2022;1;11;16;1608;1;2;2;1000;10;5.00;5;0;5;1;1;1;0
7151;2022;1;11;16;1608;1;5;35;18830;188;5.38;94;8;102;26;15;9;2
7152;2022;1;11;16;1608;2;9;3;560;6;1.87;3;1;5;0;0;0;0
7153;2022;1;11;16;1609;1;1;92;63020;630;6.85;314;28;343;79;50;32;6
7154;2022;1;11;16;1609;1;5;23;12374;124;5.38;62;6;67;17;10;6;1
7155;2022;1;11;16;1609;2;8;25;6085;61;2.43;35;16;52;5;0;2;3
7156;2022;1;11;16;1609;2;9;100;24340;243;2.43;141;65;206;19;0;7;11
7157;2022;1;11;16;1610;1;1;26;17810;178;6.85;89;8;97;22;14;9;2
7158;2022;1;11;16;1610;1;5;21;11298;113;5.38;56;5;61;16;9;6;1
7159;2022;1;11;16;1610;2;8;14;5600;56;4.00;33;15;47;4;0;2;3
7160;2022;1;11;16;1610;2;9;4;1200;12;3.00;7;3;10;1;0;0;1
7161;2022;1;11;16;1612;1;1;14;9590;96;6.85;48;4;52;12;8;5;1
7162;2022;1;11;16;1612;1;2;2;1000;10;5.00;5;0;5;1;1;1;0
7163;2022;1;11;16;1612;1;5;19;10222;102;5.38;51;5;56;14;8;5;1
7164;2022;1;11;16;1612;2;8;36;10800;108;3.00;63;29;92;9;0;3;5
7165;2022;1;11;16;1612;2;9;18;5400;54;3.00;31;14;46;4;0;2;2
7166;2022;1;11;16;1613;1;1;105;71925;719;6.85;359;32;391;90;57;36;7
7167;2022;1;11;16;1613;1;5;46;24748;247;5.38;123;11;135;35;20;12;2
7168;2022;1;11;16;1613;2;8;12;3600;36;3.00;21;10;31;3;0;1;2
7169;2022;1;11;16;1613;2;9;9;1800;18;2.00;10;5;15;1;0;1;1
7170;2022;1;11;16;1614;1;1;4;2740;27;6.85;14;1;15;3;2;1;0
7171;2022;1;11;16;1614;1;2;7;3500;35;5.00;17;2;19;5;2;2;0
7172;2022;1;11;16;1614;1;5;47;25286;253;5.38;126;11;137;35;20;13;3
7173;2022;1;11;16;1614;2;8;50;4950;50;0.99;29;13;42;4;0;1;2
7174;2022;1;11;16;1614;2;9;6;594;6;0.99;3;2;5;0;0;0;0
7175;2022;1;11;16;1615;1;1;70;47950;480;6.85;239;21;261;60;38;24;5
7176;2022;1;11;16;1615;1;2;40;20000;200;5.00;98;9;107;26;14;10;1
7177;2022;1;11;16;1615;1;5;41;22058;221;5.38;110;10;120;31;18;11;2
7178;2022;1;11;16;1615;1;6;38;15200;152;4.00;76;7;83;21;12;8;2
7179;2022;1;11;16;1615;2;8;65;19500;195;3.00;113;52;165;15;0;5;9
7180;2022;1;11;16;1615;2;9;55;19250;193;3.50;112;52;163;15;0;5;9
7181;2022;1;11;16;1616;1;1;45;30825;308;6.85;154;14;168;38;24;15;3
7182;2022;1;11;16;1616;1;2;5;2500;25;5.00;12;1;13;3;2;1;0
7183;2022;1;11;16;1616;1;5;24;12912;129;5.38;64;6;70;18;10;6;1
7184;2022;1;11;16;1616;2;8;12;2430;24;2.03;14;7;21;2;0;1;1
7185;2022;1;11;16;1616;2;9;15;2025;20;1.35;12;5;17;2;0;1;1
7186;2022;1;11;16;1617;1;1;23;13480;135;5.86;67;6;73;17;11;7;1
